race_id,track,total_laps,track_temp,pit_lane_time,base_lap_time,lap_band,temp_band,unique_sequence_count,two_stop_drivers,top_sequence,top_sequence_count,soft_share,medium_share,hard_share,soft_hard_share,medium_hard_share,hard_medium_share,medium_soft_share,soft_medium_share,is_challenge,challenge_score
R25527,Monaco,44.0,38.0,22.0,80.7,mid_short,hot,9.0,6.0,HARD>MEDIUM,5.0,0.15,0.3,0.55,0.0,0.2,0.25,0.0,0.05,0,0.0062958920327067965
R00456,Monza,33.0,30.0,23.2,86.0,short,mild,4.0,0.0,MEDIUM>HARD,9.0,0.4,0.45,0.15,0.4,0.45,0.05,0.0,0.0,0,0.006294834381219527
R20086,Suzuka,44.0,27.0,23.4,81.9,mid_short,mild,6.0,0.0,SOFT>HARD,5.0,0.4,0.3,0.3,0.25,0.15,0.1,0.15,0.15,0,0.006294291676025135
R10787,Suzuka,43.0,28.0,20.2,85.9,mid_short,mild,6.0,0.0,SOFT>HARD,6.0,0.5,0.25,0.25,0.3,0.05,0.2,0.2,0.2,0,0.006293305842543516
R12935,Monza,36.0,27.0,21.4,80.5,mid_short,mild,4.0,0.0,SOFT>HARD,6.0,0.3,0.45,0.25,0.3,0.25,0.25,0.2,0.0,0,0.0062928048015138014
R00728,Monza,27.0,32.0,21.0,80.5,short,warm,5.0,0.0,HARD>MEDIUM,7.0,0.2,0.35,0.45,0.2,0.25,0.35,0.1,0.0,0,0.00629225865395888
R13737,Silverstone,48.0,29.0,22.4,83.5,mid,mild,6.0,0.0,MEDIUM>HARD,5.0,0.35,0.35,0.3,0.2,0.25,0.15,0.1,0.15,0,0.006292117080198967
R16078,Bahrain,35.0,34.0,23.4,84.1,short,warm,6.0,0.0,SOFT>MEDIUM,4.0,0.4,0.25,0.35,0.2,0.05,0.15,0.2,0.2,0,0.006290925737049914
R12290,Suzuka,42.0,31.0,21.1,87.9,mid_short,warm,6.0,0.0,SOFT>MEDIUM,5.0,0.4,0.3,0.3,0.15,0.1,0.2,0.2,0.25,0,0.006290821382356432
R27738,Suzuka,67.0,29.0,21.4,84.9,long,mild,9.0,5.0,MEDIUM>SOFT,4.0,0.25,0.3,0.45,0.15,0.1,0.15,0.2,0.05,0,0.006290682052478681
R09624,COTA,35.0,32.0,22.1,85.6,short,warm,6.0,0.0,HARD>SOFT,5.0,0.3,0.25,0.45,0.2,0.05,0.2,0.2,0.1,0,0.0062895126354727444
R16227,Suzuka,43.0,34.0,23.1,87.9,mid_short,warm,6.0,0.0,SOFT>MEDIUM,4.0,0.35,0.3,0.35,0.15,0.1,0.15,0.2,0.2,0,0.006288094031675907
R20626,Monza,55.0,27.0,20.2,88.4,mid,mild,6.0,0.0,HARD>MEDIUM,6.0,0.3,0.35,0.35,0.15,0.15,0.3,0.2,0.15,0,0.006286596078681133
R04459,Monza,37.0,28.0,22.5,83.5,mid_short,mild,3.0,0.0,MEDIUM>HARD,10.0,0.15,0.5,0.35,0.15,0.5,0.35,0.0,0.0,0,0.006285488456611804
R05201,Monaco,29.0,31.0,21.8,83.6,short,warm,5.0,0.0,MEDIUM>HARD,7.0,0.4,0.35,0.25,0.3,0.35,0.1,0.0,0.1,0,0.006284989343390397
R22640,Bahrain,65.0,28.0,23.8,80.2,long,mild,10.0,7.0,SOFT>MEDIUM,3.0,0.5,0.25,0.25,0.1,0.1,0.1,0.1,0.15,0,0.006284248807897479
R28316,Monaco,62.0,31.0,20.8,82.9,long,warm,10.0,4.0,MEDIUM>SOFT,4.0,0.35,0.4,0.25,0.15,0.1,0.15,0.2,0.15,0,0.006283481738127946
R17761,Bahrain,42.0,29.0,23.9,94.4,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.3,0.45,0.25,0.1,0.25,0.1,0.2,0.2,0,0.0062829123844052835
R19599,Monza,36.0,30.0,22.5,91.1,mid_short,mild,6.0,0.0,MEDIUM>HARD,7.0,0.2,0.55,0.25,0.05,0.35,0.15,0.2,0.15,0,0.006282562284056917
R11446,Bahrain,41.0,34.0,22.3,82.9,mid_short,warm,6.0,0.0,MEDIUM>SOFT,5.0,0.25,0.45,0.3,0.15,0.2,0.1,0.25,0.1,0,0.006281446005597941
R06466,Suzuka,39.0,33.0,23.7,82.1,mid_short,warm,5.0,0.0,MEDIUM>HARD,6.0,0.1,0.45,0.45,0.1,0.3,0.15,0.15,0.0,0,0.006281035910607888
R10710,COTA,35.0,33.0,22.2,89.9,short,warm,6.0,0.0,MEDIUM>HARD,5.0,0.35,0.4,0.25,0.15,0.25,0.15,0.15,0.2,0,0.006281034169842701
R00762,Spa,26.0,31.0,24.0,83.3,short,warm,5.0,0.0,MEDIUM>HARD,6.0,0.45,0.3,0.25,0.25,0.3,0.15,0.0,0.2,0,0.006280804025997686
R21913,Silverstone,57.0,40.0,23.9,84.5,long,hot,10.0,4.0,MEDIUM>HARD,4.0,0.35,0.35,0.3,0.1,0.2,0.1,0.05,0.2,0,0.0062803630725262564
R15159,Monaco,36.0,33.0,22.1,91.9,mid_short,warm,6.0,0.0,MEDIUM>HARD,5.0,0.25,0.5,0.25,0.15,0.25,0.15,0.25,0.1,0,0.006280313827605076
R07460,Suzuka,39.0,30.0,22.7,85.6,mid_short,mild,6.0,0.0,HARD>MEDIUM,6.0,0.2,0.3,0.5,0.05,0.25,0.3,0.05,0.15,0,0.00628021667438546
R09968,Suzuka,54.0,27.0,22.4,92.5,mid,mild,6.0,0.0,MEDIUM>HARD,6.0,0.2,0.5,0.3,0.15,0.3,0.15,0.2,0.05,0,0.006279684367904129
R14797,Spa,54.0,30.0,23.6,92.7,mid,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.35,0.3,0.35,0.25,0.05,0.25,0.25,0.1,0,0.006279567260774042
R11537,Silverstone,35.0,34.0,20.9,82.5,short,warm,6.0,0.0,HARD>SOFT,6.0,0.25,0.25,0.5,0.05,0.1,0.2,0.15,0.2,0,0.006279107747742145
R27797,Suzuka,46.0,22.0,22.7,91.8,mid,cool,13.0,9.0,MEDIUM>SOFT>HARD,3.0,0.35,0.45,0.2,0.1,0.05,0.05,0.15,0.1,0,0.006278414204889598
R12098,Monza,53.0,28.0,22.6,90.8,mid,mild,6.0,0.0,HARD>SOFT,5.0,0.4,0.3,0.3,0.2,0.15,0.05,0.15,0.2,0,0.00627715181943052
R13807,Monza,50.0,34.0,22.3,89.0,mid,warm,6.0,0.0,MEDIUM>SOFT,5.0,0.25,0.4,0.35,0.15,0.15,0.2,0.25,0.1,0,0.006276995702039357
R00970,Monza,37.0,33.0,23.0,82.7,mid_short,warm,3.0,0.0,MEDIUM>HARD,9.0,0.2,0.45,0.35,0.2,0.45,0.35,0.0,0.0,0,0.006276792316716041
R15384,Monza,45.0,32.0,23.2,93.4,mid_short,warm,5.0,0.0,MEDIUM>SOFT,5.0,0.2,0.5,0.3,0.0,0.25,0.1,0.25,0.2,0,0.006276701060983047
R08853,Suzuka,51.0,28.0,23.2,93.4,mid,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.3,0.35,0.35,0.15,0.1,0.15,0.25,0.15,0,0.006275842345066857
R10538,Monza,45.0,32.0,20.8,94.4,mid_short,warm,6.0,0.0,HARD>MEDIUM,5.0,0.35,0.35,0.3,0.15,0.1,0.25,0.25,0.2,0,0.006275606492108578
R14925,Silverstone,45.0,28.0,20.7,80.0,mid_short,mild,6.0,0.0,SOFT>MEDIUM,5.0,0.4,0.35,0.25,0.15,0.15,0.1,0.2,0.25,0,0.006275551250260508
R15588,Monza,38.0,28.0,23.8,89.9,mid_short,mild,6.0,0.0,HARD>SOFT,6.0,0.3,0.3,0.4,0.15,0.2,0.1,0.1,0.15,0,0.006275109713055778
R17684,Suzuka,44.0,33.0,21.8,90.2,mid_short,warm,6.0,0.0,SOFT>MEDIUM,5.0,0.45,0.25,0.3,0.2,0.05,0.2,0.2,0.25,0,0.006274660064409437
R23211,Monaco,47.0,22.0,23.3,86.8,mid,cool,11.0,6.0,HARD>SOFT,5.0,0.2,0.3,0.5,0.05,0.1,0.2,0.1,0.0,0,0.006274643872282577
R03079,Bahrain,31.0,30.0,23.9,80.0,short,mild,4.0,0.0,HARD>MEDIUM,6.0,0.25,0.25,0.5,0.25,0.25,0.3,0.0,0.0,0,0.006274371285212197
R13717,Suzuka,47.0,28.0,22.2,85.6,mid,mild,6.0,0.0,HARD>SOFT,5.0,0.2,0.45,0.35,0.1,0.25,0.1,0.2,0.1,0,0.006273975836796223
R00957,Monza,36.0,32.0,23.6,92.3,mid_short,warm,4.0,0.0,MEDIUM>HARD,7.0,0.3,0.35,0.35,0.3,0.35,0.3,0.0,0.0,0,0.0062724733705356965
R13150,Silverstone,42.0,27.0,21.5,93.3,mid_short,mild,6.0,0.0,HARD>SOFT,5.0,0.3,0.25,0.45,0.2,0.1,0.2,0.15,0.1,0,0.006272018802733244
R17169,Spa,36.0,33.0,22.5,82.5,mid_short,warm,6.0,0.0,MEDIUM>HARD,5.0,0.25,0.35,0.4,0.2,0.25,0.2,0.1,0.05,0,0.006271985764395074
R10058,Spa,38.0,27.0,22.2,83.7,mid_short,mild,6.0,0.0,HARD>MEDIUM,4.0,0.3,0.35,0.35,0.2,0.2,0.2,0.15,0.1,0,0.006271894249627075
R07943,Suzuka,42.0,32.0,22.4,83.6,mid_short,warm,5.0,0.0,MEDIUM>SOFT,7.0,0.25,0.6,0.15,0.25,0.25,0.05,0.35,0.0,0,0.006271569062996881
R14662,Silverstone,48.0,27.0,23.9,80.2,mid,mild,6.0,0.0,HARD>SOFT,5.0,0.35,0.25,0.4,0.25,0.15,0.15,0.1,0.1,0,0.006270968511816998
R17214,Silverstone,40.0,27.0,22.5,88.7,mid_short,mild,6.0,0.0,HARD>MEDIUM,4.0,0.35,0.35,0.3,0.2,0.15,0.2,0.2,0.15,0,0.006270963568672418
R12758,Bahrain,50.0,29.0,21.8,81.1,mid,mild,6.0,0.0,MEDIUM>SOFT,7.0,0.25,0.45,0.3,0.15,0.1,0.25,0.35,0.1,0,0.0062692798988859995
R01140,Monaco,26.0,30.0,22.3,85.9,short,mild,6.0,0.0,SOFT>MEDIUM,5.0,0.4,0.3,0.3,0.15,0.2,0.15,0.1,0.25,0,0.006268688644920032
R16966,Suzuka,46.0,28.0,22.6,81.8,mid,mild,6.0,0.0,MEDIUM>SOFT,6.0,0.25,0.35,0.4,0.2,0.05,0.15,0.3,0.05,0,0.006268530041089308
R04639,Monaco,29.0,30.0,22.8,86.1,short,mild,5.0,0.0,MEDIUM>HARD,8.0,0.3,0.4,0.3,0.25,0.4,0.15,0.0,0.05,0,0.006267669015404752
R26538,Bahrain,43.0,26.0,22.0,80.5,mid_short,mild,11.0,7.0,MEDIUM>HARD,4.0,0.25,0.55,0.2,0.1,0.2,0.1,0.1,0.1,0,0.006267464182491193
R18097,Monza,55.0,34.0,24.0,83.2,mid,warm,6.0,0.0,MEDIUM>SOFT,6.0,0.25,0.6,0.15,0.1,0.3,0.05,0.3,0.15,0,0.006266275186005827
R07330,Monaco,49.0,28.0,22.0,90.9,mid,mild,6.0,0.0,MEDIUM>HARD,5.0,0.3,0.3,0.4,0.15,0.25,0.2,0.05,0.15,0,0.006266141826704606
R04277,Silverstone,35.0,29.0,20.8,88.9,short,mild,4.0,0.0,MEDIUM>HARD,8.0,0.2,0.4,0.4,0.2,0.4,0.3,0.0,0.0,0,0.006265621644270736
R10296,Monaco,42.0,32.0,23.8,92.5,mid_short,warm,6.0,0.0,MEDIUM>SOFT,5.0,0.25,0.4,0.35,0.2,0.15,0.15,0.25,0.05,0,0.006265586710682134
R22987,Bahrain,70.0,20.0,21.0,88.2,long,cool,10.0,5.0,HARD>MEDIUM,4.0,0.4,0.15,0.45,0.1,0.1,0.2,0.05,0.15,0,0.006265429649873327
R09874,Monza,50.0,27.0,23.6,86.4,mid,mild,6.0,0.0,MEDIUM>SOFT,6.0,0.2,0.55,0.25,0.1,0.25,0.1,0.3,0.1,0,0.006264928700808087
R18810,Suzuka,53.0,29.0,22.3,93.1,mid,mild,6.0,0.0,HARD>SOFT,5.0,0.25,0.35,0.4,0.15,0.2,0.15,0.15,0.1,0,0.006263024413171543
R19391,Monza,51.0,31.0,23.9,93.2,mid,warm,6.0,0.0,MEDIUM>HARD,5.0,0.4,0.35,0.25,0.2,0.25,0.15,0.1,0.2,0,0.006262708914185785
R00372,Monza,28.0,33.0,22.3,93.1,short,warm,6.0,0.0,MEDIUM>HARD,6.0,0.15,0.35,0.5,0.1,0.3,0.25,0.05,0.05,0,0.006262202823354662
R07315,Spa,44.0,31.0,22.6,83.7,mid_short,warm,6.0,0.0,HARD>SOFT,5.0,0.4,0.25,0.35,0.2,0.2,0.1,0.05,0.2,0,0.006261053752161485
R26345,Bahrain,53.0,18.0,23.7,84.3,mid,cool,10.0,6.0,HARD>SOFT,4.0,0.2,0.35,0.45,0.1,0.1,0.15,0.15,0.0,0,0.006260997197974573
R07116,Suzuka,47.0,31.0,23.9,90.4,mid,warm,6.0,0.0,HARD>SOFT,4.0,0.2,0.4,0.4,0.05,0.2,0.2,0.2,0.15,0,0.0062602774953451346
R13448,Spa,41.0,27.0,21.9,81.8,mid_short,mild,6.0,0.0,HARD>SOFT,6.0,0.15,0.35,0.5,0.05,0.1,0.2,0.25,0.1,0,0.006260230816143866
R07619,Monaco,52.0,30.0,21.6,92.0,mid,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.3,0.4,0.3,0.2,0.15,0.15,0.25,0.1,0,0.0062595387472265855
R09781,Silverstone,35.0,30.0,20.3,90.1,short,mild,6.0,0.0,MEDIUM>SOFT,6.0,0.35,0.35,0.3,0.15,0.05,0.1,0.3,0.2,0,0.0062594615299760075
R16849,Monza,39.0,29.0,23.1,93.1,mid_short,mild,5.0,0.0,MEDIUM>SOFT,7.0,0.35,0.6,0.05,0.2,0.25,0.05,0.35,0.15,0,0.006259391529574481
R15152,Bahrain,36.0,29.0,23.7,84.0,mid_short,mild,6.0,0.0,MEDIUM>HARD,6.0,0.2,0.45,0.35,0.15,0.3,0.15,0.15,0.05,0,0.006258244031077319
R24858,COTA,69.0,18.0,21.4,88.7,long,cool,11.0,6.0,MEDIUM>HARD,4.0,0.25,0.5,0.25,0.1,0.2,0.15,0.15,0.05,0,0.00625807021497344
R15012,Spa,41.0,32.0,23.2,84.8,mid_short,warm,6.0,0.0,HARD>SOFT,5.0,0.3,0.25,0.45,0.2,0.2,0.2,0.05,0.1,0,0.00625800214086534
R13289,Silverstone,45.0,29.0,23.1,85.1,mid_short,mild,6.0,0.0,MEDIUM>SOFT,7.0,0.25,0.45,0.3,0.15,0.1,0.15,0.35,0.1,0,0.006257993410671979
R28166,Monza,43.0,24.0,23.7,81.8,mid_short,cool,9.0,5.0,HARD>MEDIUM,5.0,0.1,0.45,0.45,0.0,0.1,0.25,0.2,0.1,0,0.006257486989356044
R13781,Suzuka,37.0,30.0,23.9,88.2,mid_short,mild,6.0,0.0,HARD>MEDIUM,5.0,0.2,0.35,0.45,0.1,0.2,0.25,0.15,0.1,0,0.006257000441223699
R03968,Monaco,25.0,31.0,24.0,92.1,short,warm,5.0,0.0,MEDIUM>HARD,6.0,0.4,0.3,0.3,0.2,0.3,0.2,0.0,0.2,0,0.006254961377887096
R29933,Silverstone,54.0,20.0,23.0,86.5,mid,cool,10.0,5.0,HARD>MEDIUM,4.0,0.3,0.35,0.35,0.1,0.15,0.2,0.15,0.05,0,0.006254896045961199
R09263,Spa,45.0,28.0,22.0,90.8,mid_short,mild,6.0,0.0,MEDIUM>SOFT,6.0,0.25,0.5,0.25,0.05,0.2,0.15,0.3,0.2,0,0.0062543399255055995
R15149,Monaco,40.0,34.0,23.8,81.6,mid_short,warm,6.0,0.0,SOFT>MEDIUM,5.0,0.45,0.2,0.35,0.2,0.1,0.2,0.1,0.25,0,0.006253695682402514
R28697,Suzuka,41.0,34.0,21.2,84.0,mid_short,warm,11.0,6.0,MEDIUM>HARD,4.0,0.3,0.4,0.3,0.15,0.2,0.05,0.05,0.05,0,0.006253121037173591
R04252,Bahrain,28.0,33.0,20.4,80.3,short,warm,5.0,0.0,MEDIUM>HARD,8.0,0.3,0.4,0.3,0.25,0.4,0.25,0.0,0.05,0,0.006252027423353402
R06471,Monza,47.0,34.0,21.7,83.3,mid,warm,6.0,0.0,MEDIUM>SOFT,5.0,0.35,0.3,0.35,0.15,0.05,0.15,0.25,0.2,0,0.006251942618198217
R03614,Monza,25.0,32.0,21.2,88.0,short,warm,6.0,0.0,MEDIUM>HARD,6.0,0.25,0.35,0.4,0.2,0.3,0.15,0.05,0.05,0,0.00625188753918741
R02833,Monza,34.0,33.0,23.5,84.1,short,warm,4.0,0.0,MEDIUM>HARD,9.0,0.25,0.45,0.3,0.25,0.45,0.2,0.0,0.0,0,0.006251872932780339
R07705,Bahrain,45.0,27.0,22.1,82.9,mid_short,mild,6.0,0.0,SOFT>MEDIUM,5.0,0.45,0.2,0.35,0.2,0.15,0.15,0.05,0.25,0,0.006251416947743643
R05154,Monza,26.0,31.0,22.3,87.4,short,warm,5.0,0.0,MEDIUM>HARD,7.0,0.3,0.35,0.35,0.05,0.35,0.2,0.0,0.25,0,0.006249527097385044
R10196,Silverstone,44.0,28.0,20.3,87.8,mid_short,mild,5.0,0.0,MEDIUM>HARD,5.0,0.4,0.4,0.2,0.2,0.25,0.0,0.15,0.2,0,0.006249460322116194
R12723,Bahrain,37.0,29.0,20.1,86.9,mid_short,mild,6.0,0.0,HARD>SOFT,5.0,0.4,0.25,0.35,0.2,0.1,0.1,0.15,0.2,0,0.006248778121768234
R22709,Bahrain,47.0,29.0,22.3,80.5,mid,mild,9.0,5.0,MEDIUM>HARD,6.0,0.35,0.4,0.25,0.05,0.3,0.15,0.1,0.1,0,0.006248274797516976
R23530,Monaco,45.0,21.0,21.5,85.0,mid_short,cool,11.0,9.0,MEDIUM>HARD>MEDIUM,3.0,0.15,0.5,0.35,0.1,0.15,0.05,0.15,0.0,0,0.006247557581013565
R00160,Monza,31.0,31.0,21.2,90.5,short,warm,4.0,0.0,MEDIUM>HARD,8.0,0.35,0.4,0.25,0.35,0.4,0.2,0.0,0.0,0,0.006247539246820909
R13287,Monaco,35.0,33.0,20.4,87.0,short,warm,6.0,0.0,HARD>MEDIUM,6.0,0.35,0.2,0.45,0.25,0.1,0.3,0.1,0.1,0,0.006246978163029821
R09358,Bahrain,40.0,34.0,22.0,86.3,mid_short,warm,6.0,0.0,MEDIUM>SOFT,5.0,0.3,0.4,0.3,0.1,0.15,0.15,0.25,0.2,0,0.006246725613117089
R21879,Monza,50.0,40.0,23.2,92.8,mid,hot,12.0,9.0,MEDIUM>SOFT>MEDIUM,3.0,0.35,0.45,0.2,0.1,0.05,0.1,0.1,0.15,0,0.006245342422679631
R06720,Monza,44.0,28.0,23.5,93.1,mid_short,mild,6.0,0.0,MEDIUM>SOFT,8.0,0.3,0.45,0.25,0.2,0.05,0.15,0.4,0.1,0,0.0062446343348074905
R00121,Bahrain,25.0,28.0,23.2,81.0,short,mild,6.0,0.0,HARD>MEDIUM,5.0,0.25,0.3,0.45,0.1,0.15,0.25,0.15,0.15,0,0.006243946479426233
R10752,Spa,35.0,33.0,22.1,90.7,short,warm,6.0,0.0,MEDIUM>HARD,5.0,0.3,0.35,0.35,0.1,0.25,0.15,0.1,0.2,0,0.0062437766002541245
R12198,Suzuka,49.0,29.0,21.6,82.2,mid,mild,6.0,0.0,HARD>MEDIUM,6.0,0.4,0.2,0.4,0.1,0.1,0.3,0.1,0.3,0,0.006243405528180676
R16155,Bahrain,44.0,27.0,22.3,93.2,mid_short,mild,5.0,0.0,MEDIUM>HARD,5.0,0.2,0.35,0.45,0.0,0.25,0.2,0.1,0.2,0,0.0062433995872210055
R08121,Monaco,41.0,34.0,22.8,89.0,mid_short,warm,6.0,0.0,MEDIUM>HARD,6.0,0.3,0.4,0.3,0.15,0.3,0.15,0.1,0.15,0,0.006242857766486617
R05105,Suzuka,31.0,29.0,21.8,87.3,short,mild,4.0,0.0,HARD>MEDIUM,7.0,0.2,0.3,0.5,0.2,0.3,0.35,0.0,0.0,0,0.0062420580419792196
R13258,Silverstone,43.0,30.0,21.1,82.5,mid_short,mild,6.0,0.0,HARD>MEDIUM,6.0,0.25,0.35,0.4,0.15,0.2,0.3,0.15,0.1,0,0.006240824346710349
R29991,Monaco,70.0,38.0,22.7,91.8,long,hot,10.0,5.0,MEDIUM>HARD,4.0,0.3,0.5,0.2,0.05,0.2,0.0,0.15,0.2,0,0.006240604616609757
R06000,Bahrain,27.0,28.0,20.0,89.9,short,mild,6.0,0.0,MEDIUM>HARD,6.0,0.4,0.35,0.25,0.25,0.3,0.1,0.05,0.15,0,0.006239386112888866
R01626,Monza,29.0,28.0,23.8,87.1,short,mild,5.0,0.0,MEDIUM>HARD,9.0,0.3,0.45,0.25,0.2,0.45,0.15,0.0,0.1,0,0.006239304347330758
R29481,Monaco,62.0,34.0,23.9,82.7,long,warm,9.0,5.0,MEDIUM>SOFT,5.0,0.35,0.4,0.25,0.1,0.15,0.05,0.25,0.0,0,0.006238940879744694
R27535,Monaco,41.0,29.0,22.8,88.3,mid_short,mild,12.0,9.0,MEDIUM>HARD>MEDIUM,3.0,0.4,0.35,0.25,0.15,0.05,0.05,0.05,0.1,0,0.00623749110295595
R04748,Spa,25.0,30.0,22.0,89.2,short,mild,6.0,0.0,MEDIUM>HARD,6.0,0.3,0.35,0.35,0.2,0.3,0.2,0.05,0.1,0,0.006236081220756529
R28608,Bahrain,51.0,29.0,20.8,81.8,mid,mild,9.0,3.0,HARD>SOFT,5.0,0.35,0.25,0.4,0.1,0.05,0.15,0.15,0.15,0,0.006236057231581217
R14723,Bahrain,36.0,28.0,21.5,83.0,mid_short,mild,6.0,0.0,SOFT>MEDIUM,5.0,0.4,0.25,0.35,0.15,0.1,0.25,0.15,0.25,0,0.006236014782069056
R21570,Monza,59.0,24.0,23.9,82.4,long,cool,13.0,9.0,SOFT>MEDIUM,3.0,0.45,0.2,0.35,0.1,0.0,0.1,0.15,0.15,0,0.0062358736415218914
R14309,Bahrain,37.0,32.0,23.5,86.1,mid_short,warm,6.0,0.0,MEDIUM>HARD,5.0,0.25,0.45,0.3,0.2,0.25,0.15,0.2,0.05,0,0.006235800505209251
R00604,Monza,27.0,32.0,21.1,89.9,short,warm,6.0,0.0,SOFT>MEDIUM,4.0,0.4,0.3,0.3,0.2,0.2,0.15,0.1,0.2,0,0.006235521098437875
R09720,Spa,53.0,27.0,22.3,87.5,mid,mild,5.0,0.0,MEDIUM>HARD,6.0,0.25,0.45,0.3,0.25,0.3,0.25,0.15,0.0,0,0.00623501521673454
R13457,Monaco,40.0,27.0,20.1,83.7,mid_short,mild,6.0,0.0,SOFT>HARD,5.0,0.3,0.35,0.35,0.25,0.1,0.25,0.25,0.05,0,0.006234531225512302
R10753,Monaco,39.0,31.0,20.4,95.0,mid_short,warm,6.0,0.0,MEDIUM>HARD,4.0,0.35,0.35,0.3,0.2,0.2,0.1,0.15,0.15,0,0.006234120327473824
R24705,Spa,68.0,24.0,23.8,88.8,long,cool,10.0,5.0,HARD>SOFT,4.0,0.4,0.35,0.25,0.15,0.05,0.05,0.15,0.15,0,0.006233528748618314
R01822,Monza,25.0,28.0,22.6,92.1,short,mild,6.0,0.0,HARD>MEDIUM,6.0,0.3,0.3,0.4,0.15,0.1,0.3,0.2,0.15,0,0.006233115934271632
R09239,Suzuka,51.0,28.0,23.5,80.6,mid,mild,6.0,0.0,HARD>MEDIUM,7.0,0.35,0.2,0.45,0.1,0.15,0.35,0.05,0.25,0,0.006232789142206905
R23591,Spa,42.0,31.0,21.6,88.0,mid_short,warm,12.0,9.0,MEDIUM>SOFT,3.0,0.45,0.2,0.35,0.05,0.0,0.1,0.15,0.1,0,0.006232733483930093
R18062,Spa,55.0,31.0,22.0,84.0,mid,warm,6.0,0.0,HARD>SOFT,4.0,0.35,0.3,0.35,0.15,0.1,0.15,0.2,0.2,0,0.006232300623776271
R21160,Suzuka,45.0,21.0,22.2,93.6,mid_short,cool,12.0,7.0,SOFT>HARD,3.0,0.45,0.2,0.35,0.15,0.05,0.1,0.15,0.15,0,0.006231992789265533
R03955,Monza,39.0,28.0,23.3,80.6,mid_short,mild,3.0,0.0,MEDIUM>HARD,11.0,0.05,0.55,0.4,0.05,0.55,0.4,0.0,0.0,0,0.0062315750661611
R08177,Monza,37.0,33.0,22.6,88.4,mid_short,warm,6.0,0.0,HARD>SOFT,5.0,0.4,0.3,0.3,0.2,0.2,0.05,0.1,0.2,0,0.006231492761278261
R16386,COTA,43.0,28.0,20.6,83.9,mid_short,mild,5.0,0.0,HARD>SOFT,5.0,0.25,0.35,0.4,0.25,0.15,0.15,0.2,0.0,0,0.0062300682196767135
R19251,COTA,41.0,27.0,21.6,91.1,mid_short,mild,6.0,0.0,MEDIUM>SOFT,6.0,0.25,0.4,0.35,0.1,0.1,0.3,0.3,0.15,0,0.006229792351517607
R21551,Monaco,41.0,36.0,21.5,90.7,mid_short,warm,11.0,5.0,MEDIUM>SOFT,4.0,0.4,0.35,0.25,0.15,0.05,0.1,0.2,0.15,0,0.006228966369737786
R03864,Monza,35.0,33.0,23.4,94.0,short,warm,4.0,0.0,MEDIUM>HARD,8.0,0.35,0.4,0.25,0.35,0.4,0.2,0.0,0.0,0,0.006228623760390619
R17479,COTA,43.0,27.0,20.1,80.4,mid_short,mild,6.0,0.0,MEDIUM>SOFT,6.0,0.25,0.5,0.25,0.15,0.2,0.1,0.3,0.1,0,0.006228496166013847
R16329,Monaco,44.0,30.0,21.5,90.1,mid_short,mild,6.0,0.0,HARD>MEDIUM,6.0,0.25,0.35,0.4,0.1,0.15,0.3,0.2,0.15,0,0.006228212280439877
R06937,Suzuka,54.0,29.0,23.0,80.0,mid,mild,6.0,0.0,SOFT>HARD,5.0,0.3,0.4,0.3,0.25,0.15,0.2,0.25,0.05,0,0.006226809383992628
R00389,Spa,26.0,32.0,21.5,92.2,short,warm,5.0,0.0,MEDIUM>HARD,5.0,0.4,0.25,0.35,0.25,0.25,0.25,0.0,0.15,0,0.006226721179011968
R14395,Suzuka,53.0,34.0,20.5,89.6,mid,warm,6.0,0.0,MEDIUM>HARD,5.0,0.25,0.45,0.3,0.1,0.25,0.15,0.2,0.15,0,0.006226645966330282
R28236,Spa,43.0,42.0,23.1,83.8,mid_short,hot,9.0,8.0,MEDIUM>SOFT,4.0,0.25,0.4,0.35,0.0,0.1,0.15,0.2,0.15,0,0.006224888853148134
R08626,Monaco,42.0,33.0,23.8,82.0,mid_short,warm,6.0,0.0,MEDIUM>SOFT,7.0,0.4,0.45,0.15,0.15,0.1,0.05,0.35,0.25,0,0.006224591414424863
R23921,Monza,68.0,30.0,20.9,91.9,long,mild,10.0,6.0,MEDIUM>SOFT,4.0,0.35,0.3,0.35,0.15,0.05,0.1,0.2,0.05,0,0.006224550605488595
R18426,Monaco,43.0,31.0,21.9,81.5,mid_short,warm,6.0,0.0,HARD>SOFT,6.0,0.3,0.3,0.4,0.05,0.05,0.1,0.25,0.25,0,0.006223419763088422
R19743,Suzuka,41.0,33.0,22.5,83.7,mid_short,warm,6.0,0.0,HARD>MEDIUM,5.0,0.3,0.2,0.5,0.2,0.1,0.25,0.1,0.1,0,0.006222519249864244
R20938,COTA,41.0,31.0,21.6,82.2,mid_short,warm,5.0,0.0,MEDIUM>HARD,6.0,0.35,0.45,0.2,0.1,0.3,0.2,0.15,0.25,0,0.006222108188855938
R02173,Silverstone,34.0,30.0,23.8,86.2,short,mild,4.0,0.0,MEDIUM>HARD,8.0,0.15,0.4,0.45,0.15,0.4,0.3,0.0,0.0,0,0.006221712960810321
